1,1,"no","Ocean Blue Shirt","Ocean blue cotton shirt with a narrow collar and buttons down the front and long sleeves. Comfortable fit and tiled kalidoscope patterns. ","Men",50,"young-man-in-bright-fashion_925x.jpg"
2,1,"no","Classic Varsity Top","Womens casual varsity top, This grey and black buttoned top is a sport-inspired piece complete with an embroidered letter. ","Women",60,"casual-fashion-woman_925x.jpg"
3,1,"no","Yellow Wool Jumper","Knitted jumper in a soft wool blend with low dropped shoulders and wide sleeves and think cuffs. Perfect for keeping warm during Fall. ","Women",80,"autumn-photographer-taking-picture_925x.jpg"
4,1,"no","Floral White Top","Stylish sleeveless white top with a floral pattern. ","Women",75,"city-woman-fashion_925x-2x.jpg"
5,1,"no","Striped Silk Blouse","Ultra-stylish black and red striped silk blouse with buckle collar and matching button pants. ","Women",50,"striped-blouse-fashion_925x.jpg"
6,1,"no","Classic Leather Jacket","Womans zipped leather jacket. Adjustable belt for a comfortable fit, complete with shoulder pads and front zip pocket. ","Women",80,"leather-jacket-and-tea_925x.jpg"
7,1,"no","Dark Denim Top","Classic dark denim top with chest pockets, long sleeves with buttoned cuffs, and a ripped hem effect.","Women",60,"young-female-models-denim_925x.jpg"
8,1,"no","Navy Sports Jacket","Long-sleeved navy waterproof jacket in thin, polyester fabric with a soft mesh inside. The durable water-repellent finish means you'll be kept comfortable and protected when out in all weathers.","Men",60,"mens-fall-fashion-jacket_925x.jpg"
9,1,"no","Soft Winter Jacket","Thick black winter jacket, with soft fleece lining. Perfect for those cold weather days.","Women",50,"smiling-woman-on-snowy-afternoon_925x.jpg"
10,1,"no","Black Leather Bag","Womens black leather bag, with ample space. Can be worn over the shoulder, or remove straps to carry in your hand. ","Women",30,"black-bag-over-the-shoulder_925x.jpg"
11,1,"no","Zipped Jacket","Dark navy and light blue mens zipped waterproof jacket with an outer zipped chestpocket for easy storeage.","Men",65,"menswear-blue-zip-up-jacket_925x.jpg"
12,1,"no","Silk Summer Top","Silk womens top with short sleeves and number pattern.","Women",70,"young-hip-woman-at-carnival_925x.jpg"
13,1,"no","Long Sleeve Cotton Top","Black cotton womens top, with long sleeves, no collar and a thick hem. ","Women",50,"woman-outside-brownstone_925x.jpg"
14,1,"no","Chequered Red Shirt","Classic mens plaid flannel shirt with long sleeves, in chequered style, with two chest pockets.","Men",50,"red-plaid-shirt_925x.jpg"
15,1,"no","White Cotton Shirt","Plain white cotton long sleeved shirt with loose collar. Small buttons and front pocket. ","Women",30,"smiling-woman-poses_925x.jpg"
16,1,"no","Olive Green Jacket","Loose fitting olive green jacket with buttons and large pockets. Multicoloured pattern on the front of the shoulders.","Women",65,"urban-fashion_925x.jpg"
17,1,"no","Blue Silk Tuxedo","Blue silk tuxedo with marbled aquatic pattern and dark lining. Sleeves are complete with rounded hem and black buttons.","Men",70,"man-adjusts-blue-tuxedo-bowtie_925x.jpg"
18,1,"no","Red Sports Tee","Womens red sporty t-shirt with colorful details on the sleeves and a small white pocket.","Women",50,"womens-red-t-shirt_925x.jpg"
19,1,"no","Striped Skirt and Top","Black cotton top with matching striped skirt. ","Women",50,"woman-in-the-city_925x.jpg"
